Category,Item Name,Description,Price,Badge
Appetizer,Paneer Tikka,Marinated cottage cheese cubes grilled in tandoor,280 rs,Best Seller
Appetizer,Hara Bhara Kabab,Spiced spinach and green pea patties,220 rs,Healthy
Appetizer,Chicken 65,Spicy deep-fried chicken tempered with curry leaves,320 rs,Spicy
Appetizer,Samosa,Crispy pastry filled with spiced potatoes and peas,40 rs,Classic
Appetizer,Gobi Manchurian,Crispy cauliflower tossed in soy garlic sauce,240 rs,Indo-Chinese
Appetizer,Onion Bhaji,Deep fried onion fritters with gram flour,120 rs,Crispy
Appetizer,Murg Malai Tikka,Chicken kebabs marinated in cream and cheese,350 rs,Mild
Appetizer,Fish Amritsari,Gram flour battered fried fish with carom seeds,380 rs,Must Try
Appetizer,Veg Spring Rolls,Crispy rolls stuffed with minced vegetables,180 rs,Crunchy
Appetizer,Dahi Ke Sholay,Bread rolls stuffed with hung curd and spices,260 rs,Chef Special
Main Dish,Butter Chicken,Charcoal grilled chicken in creamy tomato gravy,450 rs,Popular
Main Dish,Paneer Butter Masala,Cottage cheese in a rich tomato and butter sauce,340 rs,Classic
Main Dish,Dal Makhani,Slow cooked black lentils with cream and butter,280 rs,Signature
Main Dish,Chole Bhature,Spicy chickpeas served with fried leavened bread,220 rs,Heavy
Main Dish,Palak Paneer,Cottage cheese cubes in a smooth spinach puree,320 rs,Healthy
Main Dish,Mutton Rogan Josh,Traditional Kashmiri lamb curry with red chilies,550 rs,Hot
Main Dish,Kadai Veg,Mixed vegetables cooked in a spicy tomato gravy,260 rs,Spicy
Main Dish,Bhindi Do Pyaza,Okra cooked with double the amount of onions,220 rs,Home Style
Main Dish,Chicken Tikka Masala,Grilled chicken chunks in a spicy onion gravy,420 rs,Hot
Main Dish,Malai Kofta,Fried potato and paneer balls in a creamy sauce,360 rs,Sweetish
Main Dish,Egg Curry,Boiled eggs simmered in a spicy onion tomato base,240 rs,Spicy
Main Dish,Aloo Gobi,Potato and cauliflower tossed with turmeric and ginger,200 rs,Classic
Main Dish,Chicken Chettinad,Fiery South Indian chicken curry with pepper,440 rs,Very Spicy
Main Dish,Baingan Bharta,Smoked mashed eggplant cooked with green peas,240 rs,Smoky
Main Dish,Kadhai Paneer,Paneer cooked with bell peppers and ground spices,340 rs,Spicy
Main Dish,Prawns Curry,Fresh prawns cooked in coconut milk and tamarind,580 rs,Seafood
Main Dish,Methi Matar Malai,Green peas and fenugreek in a creamy white gravy,310 rs,Mild
Main Dish,Chicken Jalfrezi,Chicken stir-fried with peppers and onions,410 rs,Tangy
Main Dish,Rajma Chawal,Red kidney beans curry served with steamed rice,180 rs,Comfort Food
Main Dish,Dum Aloo,Baby potatoes slow cooked in a yogurt based gravy,280 rs,Spicy
Main Dish,Mutton Rara,Minced mutton and chunks cooked together in spices,580 rs,Heavy
Main Dish,Veg Jalfrezi,Assorted vegetables stir fried in a tangy sauce,250 rs,Tangy
Main Dish,Chicken Saagwala,Chicken cooked with fresh spinach and spices,430 rs,Nutritious
Main Dish,Fish Moilee,Kerala style fish curry in coconut milk,520 rs,Mild
